t_ms,P_mmHg
0.0,0.0000000000
0.05,0.0000000000
0.1,0.0000000000
0.15,0.0000000000
0.2,0.0000000000
0.25,0.0000000000
0.3,0.0000000000
0.35,0.0000000000
0.4,0.0000000000
0.45,0.0000000000
0.5,0.0000000000
0.55,0.0000000000
0.6,0.0000000000
0.65,0.0000000000
0.7,0.0000000000
0.75,0.0000000000
0.8,0.0000000000
0.85,0.0000000000
0.9,0.0000000000
0.95,0.0000000000
1.0,0.0000000000
1.05,0.0000000000
1.1,0.0000000000
1.15,0.0000000000
1.2,0.0000000000
1.25,0.0000000000
1.3,0.0000000000
1.35,0.0000000000
1.4,0.0000000000
1.45,0.0000000000
1.5,0.0000000000
1.55,0.0000000000
1.6,0.0000000000
1.65,0.0000000000
1.7,0.0000000000
1.75,0.0000000000
1.8,0.0000000000
1.85,0.0000000000
1.9,0.0000000000
1.95,0.0000000000
2.0,0.0000000000
2.05,0.0000000000
2.1,0.0000000000
2.15,0.0000000000
2.2,0.0000000000
2.25,0.0000000000
2.3,0.0000000000
2.35,0.0000000000
2.4,0.0000000000
2.45,0.0000000000
2.5,0.0000000000
2.55,0.0000000000
2.6,0.0000000000
2.65,0.0000000000
2.7,0.0000000000
2.75,0.0000000000
2.8,0.0000000000
2.85,0.0000000000
2.9,0.0000000000
2.95,0.0000000000
3.0,0.0000000000
3.05,0.0000000000
3.1,0.0000000000
3.15,0.0000000000
3.2,0.0000000000
3.25,0.0000000000
3.3,0.0000000000
3.35,0.0000000000
3.4,0.0000000000
3.45,0.0000000000
3.5,0.0000000000
3.55,0.0000000000
3.6,0.0000000000
3.65,0.0000000000
3.7,0.0000000000
3.75,0.0000000000
3.8,0.0000000000
3.85,0.0000000000
3.9,0.0000000000
3.95,0.0000000000
4.0,0.0000000000
4.05,0.0000000000
4.1,0.0000000000
4.15,0.0000000000
4.2,0.0000000000
4.25,0.0000000000
4.3,0.0000000000
4.35,0.0000000000
4.4,0.0000000000
4.45,0.0000000000
4.5,0.0000000000
4.55,0.2260191797
4.6,0.7294433948
4.65,1.2483226590
4.7,1.5207069863
4.75,1.5243902439
4.8,1.5449889136
4.85,1.6705904915
